City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
221,Saint George,US,85.62,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
224,Buchanan,LR,81.1,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
225,Changde,CN,70.36,few clouds,29.0464,111.6783,Kangshida Hotel
226,Caravelas,BR,78.58,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
227,Acapulco,MX,85.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
228,Rajauri,IN,71.22,clear sky,33.3833,74.3,Hotel Ashoka
229,Sulangan,PH,81.72,overcast clouds,11.1373,123.7228,Maia's Beach Resort
230,Cabo San Lucas,MX,88.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
235,Chickasha,US,71.15,clear sky,35.0526,-97.9364,"Holiday Inn Express & Suites Chickasha, an IHG Hotel"
238,Jilib,SO,77.49,overcast clouds,0.4883,42.7854,Waadi Hotel
243,Road Town,VG,82.49,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
247,Namibe,AO,71.64,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
249,Abu Dhabi,AE,84.31,clear sky,24.4667,54.3667,Beach Rotana
251,Kulhudhuffushi,MV,84.58,overcast clouds,6.6221,73.07,Haajy Guest House 1
253,Hithadhoo,MV,84.85,overcast clouds,-0.6,73.0833,Scoop Guest House
257,Labuhan,ID,78.51,overcast clouds,-6.8844,112.2051,DoubleFAG
259,Jos,NG,77.22,overcast clouds,9.9167,8.9,Silk Suites
261,Key Largo,US,84.0,clear sky,25.0865,-80.4473,Bayside Inn Key Largo
263,Mahibadhoo,MV,84.43,broken clouds,3.7833,72.9667,Omadhoo Inn
264,Sao Joao Da Barra,BR,84.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
266,Gwadar,PK,82.31,clear sky,25.1216,62.3254,Sadaf Resort
267,Axim,GH,80.8,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
271,Sijunjung,ID,72.57,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
272,Monrovia,LR,83.97,overcast clouds,6.3005,-10.7969,Sunset Inn
275,Cayenne,GF,86.04,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
276,Celestun,MX,84.6,broken clouds,20.8667,-90.4,Posada Lilia
282,Arlit,NE,85.39,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
283,El Rosario,MX,91.02,clear sky,24.2556,-107.1828,Mi casa
285,Juarez,MX,76.64,scattered clouds,31.7333,-106.4833,Hotel Santa Fe
286,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
290,Porto Belo,BR,78.8,overcast clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
292,Ayacucho,PE,73.26,scattered clouds,-13.1583,-74.2239,Hotel Incasol
294,Pisco,PE,71.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
295,Grand Gaube,MU,76.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
298,Iranshahr,IR,89.94,clear sky,27.2025,60.6848,نیک سرشت
300,Imbituba,BR,77.86,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
304,Banda Aceh,ID,80.35,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
305,Norsup,VU,79.25,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
312,Tautira,PF,81.46,light rain,-17.7333,-149.15,Pension Oaoa
314,Amuntai,ID,72.61,moderate rain,-2.4177,115.2494,Hotel Balqis
318,Cabedelo,BR,84.87,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
320,Meulaboh,ID,76.64,overcast clouds,4.1363,96.1285,Kost Pria
322,Port Blair,IN,83.16,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
324,Tual,ID,83.5,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
325,Port Hedland,AU,77.05,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
328,Ishigaki,JP,78.93,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
330,Langsa,ID,75.42,overcast clouds,4.4683,97.9683,OYO 3328 Hotel Mori
331,Abeche,TD,89.92,broken clouds,13.8292,20.8324,Assaleh Hamdan Haroune
333,Port Moresby,PG,76.42,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
335,Paita,PE,72.7,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
336,Touros,BR,81.18,clear sky,-5.1989,-35.4608,INN NEW HORIZON
342,Panalingaan,PH,79.0,broken clouds,8.7842,117.4231,I Love Panalingaan View Deck
344,Si Satchanalai,TH,85.71,clear sky,17.5169,99.7598,Chanalai Resort and Hotel
