City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Sagone,FR,42.1155,8.6969,61.27,70,6,4.74,clear sky
80,Yantzaza,EC,-3.8278,-78.7594,79.68,73,99,1.95,light rain
81,Guerrero Negro,MX,27.9769,-114.0611,76.84,36,7,14.56,clear sky
82,Lillesand,NO,58.2488,8.3778,46.35,53,0,3.44,clear sky
83,Lorengau,PG,-2.0226,147.2712,81.14,83,34,7.9,scattered clouds
84,Lata,PT,40.1629,-8.3327,59.81,94,2,1.28,clear sky
85,Arroyo,ES,41.6096,-4.7969,57.07,76,20,6.91,light rain
86,Lavrentiya,RU,65.5833,-171.0,22.5,86,87,4.23,overcast clouds
87,Ayan,RU,56.45,138.1667,25.11,81,100,6.91,overcast clouds
88,Xalpatlahuac,MX,17.4667,-98.6167,84.15,26,24,6.35,few clouds
89,Khatanga,RU,71.9667,102.5,10.13,94,100,6.67,overcast clouds
90,Charleville-Mezieres,FR,49.7667,4.7167,48.78,88,62,4.97,broken clouds
91,Port Lincoln,AU,-34.7333,135.8667,61.18,88,26,4.32,scattered clouds
92,Cape Town,ZA,-33.9258,18.4232,61.21,73,0,16.11,clear sky
93,Puerto Ayora,EC,-0.7393,-90.3518,78.76,75,88,7.92,overcast clouds
94,Egvekinot,RU,66.3167,-179.1667,22.71,82,100,3.56,overcast clouds
95,Ribeira Grande,PT,38.5167,-28.7,63.0,88,40,14.97,scattered clouds
96,Bilibino,RU,68.0546,166.4372,23.59,82,100,4.9,overcast clouds
97,Paamiut,GL,61.994,-49.6678,34.3,97,100,22.82,snow
98,Santa Lucia,ES,27.9117,-15.5407,61.77,60,40,21.85,scattered clouds
99,Gold Coast,AU,-28.0,153.4333,66.0,95,40,3.44,scattered clouds
100,Raudeberg,NO,61.9875,5.1352,41.67,68,100,23.87,overcast clouds
101,Secunda,ZA,-26.55,29.1667,50.32,59,0,3.67,clear sky
102,East London,ZA,-33.0153,27.9116,61.97,79,3,12.97,clear sky
103,Victoria,HK,22.2855,114.1577,81.32,86,0,7.0,clear sky
104,Mae Sai,TH,20.4335,99.8762,79.68,53,52,1.61,broken clouds
105,Henties Bay,NA,-22.116,14.2845,63.32,70,1,5.95,clear sky
106,Hilo,US,19.7297,-155.09,78.28,89,75,5.75,broken clouds
107,Salinopolis,BR,-0.6136,-47.3561,81.64,78,98,11.16,overcast clouds
108,Okha,RU,53.5739,142.9478,28.04,96,100,17.31,snow
109,Jining,CN,35.405,116.5814,66.02,18,100,8.1,overcast clouds
110,Puerto Narino,CO,-3.7703,-70.3831,83.66,79,76,1.63,broken clouds
111,Thompson,CA,55.7435,-97.8558,35.76,25,0,4.61,clear sky
112,Hastings,GB,50.8552,0.5729,50.79,71,11,11.86,few clouds
113,Harper,LR,4.375,-7.7169,79.88,85,100,7.23,light rain
114,Severo-Kurilsk,RU,50.6789,156.125,30.72,83,70,8.01,broken clouds
115,Napier,NZ,-39.4833,176.9167,51.28,94,75,1.99,broken clouds
116,Cherskiy,RU,68.75,161.3,26.65,81,100,4.25,overcast clouds
117,Pringsewu,ID,-5.3582,104.9744,73.92,93,95,0.4,heavy intensity rain
118,Mahebourg,MU,-20.4081,57.7,76.24,88,75,10.36,broken clouds
119,Bongandanga,CD,1.5,21.05,69.08,99,100,1.25,overcast clouds
120,Gat,IL,31.61,34.7642,78.4,58,85,5.73,overcast clouds
121,Samana,DO,19.2056,-69.3369,88.02,66,40,11.5,scattered clouds
122,Mayo,US,38.8876,-76.5119,67.98,76,100,7.0,overcast clouds
123,Bikaner,IN,28.0167,73.3,87.87,12,0,10.33,clear sky
124,Chuy,UY,-33.6971,-53.4616,71.04,82,57,9.64,broken clouds
125,Georgetown,MY,5.4112,100.3354,81.95,93,40,8.05,scattered clouds
126,Torbay,CA,47.6666,-52.7314,42.76,89,100,14.0,mist
127,Ca Mau,VN,9.1769,105.15,78.93,83,70,3.11,broken clouds
128,Tasiilaq,GL,65.6145,-37.6368,33.96,89,87,3.36,overcast clouds
129,Hobart,AU,-42.8794,147.3294,49.05,94,92,6.91,overcast clouds
130,Kolpashevo,RU,58.3131,82.9089,36.97,87,87,5.17,overcast clouds
131,Wexford,IE,52.3342,-6.4575,53.22,85,9,7.56,clear sky
132,Memari,IN,23.2,88.1167,79.84,86,3,10.74,clear sky
133,Sao Felix Do Xingu,BR,-6.6447,-51.995,83.88,63,17,4.18,few clouds
